continent,location,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,health_expenditure,private_health_percent,medical_doctors_per10k,nursing_midwifery_per10k,TOTAL_VACCINATIONS_PER100,PERSONS_FULLY_VACCINATED_PER100,cumulative_estimated_daily_excess_deaths
Asia,Afghanistan,178901.0,7683.0,4491.002,192.869,,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,0.5,64.83,0.511,65.81,79.4,2.54,4.46,15.377,11.912,73258.2959603989
Europe,Albania,275177.0,3496.0,95782.569,1216.874,,2872934.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,2.89,78.57,0.795,274.9,44.66,18.75,60.46,98.2,43.305,17660.3925071243
Africa,Algeria,265782.0,6875.0,5957.017,154.091,,44616626.0,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,1.9,76.88,0.748,248.2,34.96,17.19,15.48,34.676,14.78,91572.0294731783
Europe,Andorra,39713.0,155.0,513392.973,2003.775,11.11,77354.0,163.755,,,,,,109.135,7.97,29.0,37.8,,83.73,0.868,2744.0,30.51,33.33,40.13,197.1,70.108,197.995107342271
Africa,Angola,99287.0,1900.0,2925.919,55.992,37.04,33933611.0,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,,61.15,0.581,71.33,55.61,2.14,4.08,54.453,19.253,48671.2046039868
North America,Antigua and Barbuda,7626.0,136.0,77242.525,1377.522,,98728.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,3.8,77.02,0.778,760.3,41.51,27.67,90.83,138.473,63.122,-21.7135706146678
South America,Argentina,9083673.0,128653.0,199177.921,2820.977,,45605823.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,5.0,76.67,0.845,946.0,37.39,40.6,26.0,217.906,82.358,168906.388534788
Asia,Armenia,422874.0,8622.0,142471.618,2904.861,,2968128.0,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,4.2,75.09,0.776,524.0,86.6,44.02,49.54,72.6,33.236,16034.4818101816
Oceania,Australia,6030240.0,7310.0,233837.027,283.463,,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,3.84,83.44,0.944,5427.0,28.32,41.29,131.4,225.683,84.323,6262.4410887763
Europe,Austria,4149004.0,18170.0,458804.707,2009.273,37.96,9043072.0,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,7.37,81.54,0.922,5242.0,26.99,52.93,105.6,204.9,74.171,18253.4605101966
