IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
GHED_PVT-DCHE_SHA2011,Domestic private health expenditure (PVT-D) as percentage of current health expenditure (CHE) (%),numeric,WPR,Western Pacific,Country,NIU,Niue,Year,2019,true,,,,,,,,,,,,,1.34,,,,,,1.34,,,EN,2021-12-14T23:00:00.000Z
GHED_PVT-DCHE_SHA2011,Domestic private health expenditure (PVT-D) as percentage of current health expenditure (CHE) (%),numeric,AMR,Americas,Country,CUB,Cuba,Year,2019,true,,,,,,,,,,,,,10.59,,,,,,10.59,,,EN,2021-12-14T23:00:00.000Z
GHED_PVT-DCHE_SHA2011,Domestic private health expenditure (PVT-D) as percentage of current health expenditure (CHE) (%),numeric,WPR,Western Pacific,Country,WSM,Samoa,Year,2019,true,,,,,,,,,,,,,10.82,,,,,,10.82,,,EN,2021-12-14T23:00:00.000Z
GHED_PVT-DCHE_SHA2011,Domestic private health expenditure (PVT-D) as percentage of current health expenditure (CHE) (%),numeric,WPR,Western Pacific,Country,VUT,Vanuatu,Year,2019,true,,,,,,,,,,,,,11.68,,,,,,11.68,,,EN,2021-12-14T23:00:00.000Z
GHED_PVT-DCHE_SHA2011,Domestic private health expenditure (PVT-D) as percentage of current health expenditure (CHE) (%),numeric,WPR,Western Pacific,Country,COK,Cook Islands,Year,2019,true,,,,,,,,,,,,,12.37,,,,,,12.37,,,EN,2021-12-14T23:00:00.000Z
GHED_PVT-DCHE_SHA2011,Domestic private health expenditure (PVT-D) as percentage of current health expenditure (CHE) (%),numeric,EUR,Europe,Country,LUX,Luxembourg,Year,2019,true,,,,,,,,,,,,,12.8,,,,,,12.8,,,EN,2021-12-14T23:00:00.000Z
GHED_PVT-DCHE_SHA2011,Domestic private health expenditure (PVT-D) as percentage of current health expenditure (CHE) (%),numeric,EMR,Eastern Mediterranean,Country,KWT,Kuwait,Year,2019,true,,,,,,,,,,,,,13.04,,,,,,13.04,,,EN,2021-12-14T23:00:00.000Z
GHED_PVT-DCHE_SHA2011,Domestic private health expenditure (PVT-D) as percentage of current health expenditure (CHE) (%),numeric,SEAR,South-East Asia,Country,TLS,Timor-Leste,Year,2019,true,,,,,,,,,,,,,13.06,,,,,,13.06,,,EN,2021-12-14T23:00:00.000Z
GHED_PVT-DCHE_SHA2011,Domestic private health expenditure (PVT-D) as percentage of current health expenditure (CHE) (%),numeric,EMR,Eastern Mediterranean,Country,OMN,Oman,Year,2019,true,,,,,,,,,,,,,13.56,,,,,,13.56,,,EN,2021-12-14T23:00:00.000Z
GHED_PVT-DCHE_SHA2011,Domestic private health expenditure (PVT-D) as percentage of current health expenditure (CHE) (%),numeric,WPR,Western Pacific,Country,TON,Tonga,Year,2019,true,,,,,,,,,,,,,13.69,,,,,,13.69,,,EN,2021-12-14T23:00:00.000Z
GHED_PVT-DCHE_SHA2011,Domestic private health expenditure (PVT-D) as percentage of current health expenditure (CHE) (%),numeric,AFR,Africa,Country,LSO,Lesotho,Year,2019,true,,,,,,,,,,,,,14.18,,,,,,14.18,,,EN,2021-12-14T23:00:00.000Z
GHED_PVT-DCHE_SHA2011,Domestic private health expenditure (PVT-D) as percentage of current health expenditure (CHE) (%),numeric,EUR,Europe,Country,NOR,Norway,Year,2019,true,,,,,,,,,,,,,14.18,,,,,,14.18,,,EN,2021-12-14T23:00:00.000Z
GHED_PVT-DCHE_SHA2011,Domestic private health expenditure (PVT-D) as percentage of current health expenditure (CHE) (%),numeric,EUR,Europe,Country,MCO,Monaco,Year,2019,true,,,,,,,,,,,,,15.04,,,,,,15.04,,,EN,2021-12-14T23:00:00.000Z
GHED_PVT-DCHE_SHA2011,Domestic private health expenditure (PVT-D) as percentage of current health expenditure (CHE) (%),numeric,EUR,Europe,Country,SWE,Sweden,Year,2019,true,,,,,,,,,,,,,15.12,,,,,,15.12,,,EN,2021-12-14T23:00:00.000Z
GHED_PVT-DCHE_SHA2011,Domestic private health expenditure (PVT-D) as percentage of current health expenditure (CHE) (%),numeric,AFR,Africa,Country,BWA,Botswana,Year,2019,true,,,,,,,,,,,,,15.33,,,,,,15.33,,,EN,2021-12-14T23:00:00.000Z
GHED_PVT-DCHE_SHA2011,Domestic private health expenditure (PVT-D) as percentage of current health expenditure (CHE) (%),numeric,WPR,Western Pacific,Country,MHL,Marshall Islands,Year,2019,true,,,,,,,,,,,,,15.81,,,,,,15.81,,,EN,2021-12-14T23:00:00.000Z
GHED_PVT-DCHE_SHA2011,Domestic private health expenditure (PVT-D) as percentage of current health expenditure (CHE) (%),numeric,AFR,Africa,Country,MOZ,Mozambique,Year,2019,true,,,,,,,,,,,,,16,,,,,,16,,,EN,2021-12-14T23:00:00.000Z
GHED_PVT-DCHE_SHA2011,Domestic private health expenditure (PVT-D) as percentage of current health expenditure (CHE) (%),numeric,WPR,Western Pacific,Country,JPN,Japan,Year,2019,true,,,,,,,,,,,,,16.14,,,,,,16.14,,,EN,2021-12-14T23:00:00.000Z
GHED_PVT-DCHE_SHA2011,Domestic private health expenditure (PVT-D) as percentage of current health expenditure (CHE) (%),numeric,AFR,Africa,Country,ZMB,Zambia,Year,2019,true,,,,,,,,,,,,,16.21,,,,,,16.21,,,EN,2021-12-14T23:00:00.000Z
GHED_PVT-DCHE_SHA2011,Domestic private health expenditure (PVT-D) as percentage of current health expenditure (CHE) (%),numeric,EUR,Europe,Country,DNK,Denmark,Year,2019,true,,,,,,,,,,,,,16.71,,,,,,16.71,,,EN,2021-12-14T23:00:00.000Z
GHED_PVT-DCHE_SHA2011,Domestic private health expenditure (PVT-D) as percentage of current health expenditure (CHE) (%),numeric,EUR,Europe,Country,ISL,Iceland,Year,2019,true,,,,,,,,,,,,,17.11,,,,,,17.11,,,EN,2021-12-14T23:00:00.000Z
GHED_PVT-DCHE_SHA2011,Domestic private health expenditure (PVT-D) as percentage of current health expenditure (CHE) (%),numeric,EUR,Europe,Country,SMR,San Marino,Year,2019,true,,,,,,,,,,,,,17.78,,,,,,17.78,,,EN,2021-12-14T23:00:00.000Z
GHED_PVT-DCHE_SHA2011,Domestic private health expenditure (PVT-D) as percentage of current health expenditure (CHE) (%),numeric,EUR,Europe,Country,HRV,Croatia,Year,2019,true,,,,,,,,,,,,,18.45,,,,,,18.45,,,EN,2021-12-14T23:00:00.000Z
GHED_PVT-DCHE_SHA2011,Domestic private health expenditure (PVT-D) as percentage of current health expenditure (CHE) (%),numeric,EUR,Europe,Country,CZE,Czechia,Year,2019,true,,,,,,,,,,,,,18.5,,,,,,18.5,,,EN,2021-12-14T23:00:00.000Z
